name,image,link,age,sex,breed,town,postcode,charity,description,date
My Name Is… Nora,https://staffieandstrayrescue.co.uk/wp-content/uploads/Nora1-300x300.jpg,https://staffieandstrayrescue.co.uk/dogs/nora-2,I Am… Staffie Cross,,I Am… 25kg,,BH11 9AE,Staffie & Stray Rescue,"About Nora

My Name Is… Nora

I Am… Staffie Cross

I Am… 25kg

Can I be rehomed with other dogs… No

Can I be rehomed with cats… No

Can I be rehomed with children… Over 12 Years

I Am looking for… A foster home

MY HISTORY

Nora has had a tough time of things, she had previously been in 4 homes by the time she was 7 months old. She has been in a stable home ever since then, but sadly due to unforseen circumstances, Nora is looking for a new home through SSR. Nora is currently still living with her owner  out of our area and waiting for a foster home to become available so that she can come into our care.

ABOUT NORA

Hi, I’m Nora!

I’m a very friendly girl who loves to meet new people. I am a loving and cuddly girl.

I travel very well in the car and I can be left for short, reasonable periods of time.

I know basic commands and take treats very gently.

I’m not really into playing with toys.

I am generally calm around the home and I am fully house trained.

Due to Nora not yet being in our care, we would welcome applicants who live within an hour of Bournemouth to apply to foster or offer Nora a ‘trial period’ home to potentially foster with a view to adopt. Please note that meet and greets cannot be carried out until she is in our care.

HEALTH

No health concerns. I will have a health check when I am in the rescues care.

MY TEMPERAMENT WITH OTHER DOGS

I am anxious around other dogs and I can be strong on lead in the face of other dogs.

Currently I live rurally and I am not faced with many dogs.

I am muzzle trained and halti trained.

AM I ELIGIBLE TO APPLY?

Please have a read of our requirements to ensure that you are eligible to apply here:

https://staffieandstrayrescue.co.uk/news/rehoming-criteria-are-you-eligible

 ",09/15/2025
My Name Is… Rex,https://staffieandstrayrescue.co.uk/wp-content/uploads/Rex-1-300x300.jpg,https://staffieandstrayrescue.co.uk/dogs/rex-4,I Am… 8 Years Old,,I Am… Approx. 26-28kg,,BH11 9AE,Staffie & Stray Rescue,"About Rex

My Name Is… Rex

I Am… 8 Years Old

I Am… Approx. 26-28kg

Can I be rehomed with other dogs… No

Can I be rehomed with cats… No

Can I be rehomed with children… Over 8 years – Children who are used to dogs

I am looking for… A forever home

MY HISTORY

Rex has been a well loved dog his whole life. Sadly, due to unforeseen circumstances, he is looking for a new home through Staffie and Stray Rescue. Rex is currently still with his owner whilst he waits for his new home to come forward so that he doesn’t have to go into kennels or a temporary foster placement.

ABOUT REX

Hi, I’m Rex!

I am a really friendly and loveable boy looking for a new home. I have been so well loved and I would love to find a home who can continue to love me just as much.

I’m a very affectionate and loving boy, I am extra loving when I know that you are having a bad day or if you are sad, I will try my best to make you feel better! I form good bonds with people.

I used to live with children and I am used to having visiting children at home.

I can be a bit chatty sometimes, when I want some treats or more attention, I will demand it!

I can be left for short, reasonable periods of time and I am happy with my own company.

I am very active and playful, I love to play with balls and sticks in particular! I also enjoy tug toys and will shred up teddies in no time!

I am fine travelling in the car.

My personality in a nutshell: Loving, playful, lazy and affectionate.

I know lots of tricks and commands such as: Sit, paw, down, spin, middle.

I really enjoy my walks and I walk well on the lead generally… Unless I spot a cat!

I am an all round good boy and I would love for someone to come forward and offer me a 5* home!

HEALTH

No health concerns. I am not on any medication.

I will be due a health check with the rescue once I have found my forever home.

MY TEMPERAMENT WITH OTHER DOGS

I am quite neutral with other dogs out on walks, or perhaps just have a sniff and move on.

With dog friends that I know well, I have more of a play.

Slow and gentle dog introductions work best for me.

 ",09/15/2025
My Name Is… Rubble,https://staffieandstrayrescue.co.uk/wp-content/uploads/Rubble-300x300.jpg,https://staffieandstrayrescue.co.uk/dogs/rubble,I Am… Male,,I Am… 4 ½ Years Old,,BH11 9AE,Staffie & Stray Rescue,"About Rubble

My Name Is… Rubble

I Am… Male

I Am… 4 ½ Years Old

I Am… Staffie Cross

I Am… Approximately 25kg

Can I be rehomed with other dogs… No

Can I be rehomed with cats… No

Can I be rehomed with children… Over 12 years. I like all children but I can be a bit over exuberant for younger chidren.

I am looking for… A foster home

MY HISTORY

Rubble has already been in 3 homes in his life so far, due to no fault of his own. His first home rehomed him because they were due to have a baby and wanted to put him down as he was no longer wanted! His next home was a much more loving home, but sadly due to a divorce, they are no longer able to keep him. Rubble in now in a temporary third home who stepped in to help him out in his time of need.

Rubble is currently living out of our area and is looking for a home to come forward to foster him, or we would welcome applications who may be able to foster with a view to adopt. We are unable to facilitate meet and greets due to the distance until he finds a local placement with us.

ABOUT RUBBLE

Hi, I’m Rubble (got my name from TV Paw Patrol series).

I’m a typical bouncy and boisterous Staffie! I am full of energy and always happy!

I love to be around people and can be quite lively at first when visitors first come to the house, but I do settle down after a short period of time.

I enjoy lots of strokes and cuddles chilling out with/on my caregivers laps on the sofa, particularly in the evening after my walks.

I love to play ball in the garden!

I can do most of the basic commands – Sit, Lay down, Paw, No, Wait, Stay – but I am still learning about always coming when called – although I am getting better at it. I’m also learning to respond to the command “leave” and “fetch” when playing with a ball, but haven’t quite got the hang of it consistently.

I love my walks and like to say hello to as many people as possible. I particularly enjoy running around in a secure dog park where I can burn off all my energy!

I can be left for short, reasonable periods of time and I am really good travelling in the car too.

HEALTH

I am due a health check when I arrive. No obvious health concerns to address.

MY TEMPERAMENT WITH OTHER DOGS

I am not fully socialised with other dogs. Most dogs I am happy to sniff and move on, but some dogs I can be anxious around some dogs and react. I am looking for a home who can understand this and not put me in unwanted situations.

I have made a few dog friends with slow and gentle introductions.

I generally walk well on the lead unless I get overstimulated. I will pull if I see a cat, squirrel or bird!

MY IDEAL FAMILY

I would love to finally find a forever family who are committed to me for life! I have been through too many homes already. I would suit most family set ups, in particular a home who are able to give me plenty of physical exercise and mental enrichment as I am a clever boy!

Please reach out to my team if you can offer me a home!",09/15/2025
My Name Is… Sapphire,https://staffieandstrayrescue.co.uk/wp-content/uploads/Sapphire-300x300.jpg,https://staffieandstrayrescue.co.uk/dogs/sapphire,I Am… Staffie,,I Am… 7 Years Old,,BH11 9AE,Staffie & Stray Rescue,"About Sapphire

My Name Is… Sapphire

I Am… Staffie

I Am… 7 Years Old

Can I be rehomed with other dogs… No

Can I be rehomed with cats… No

Can I be rehomed with children… Over 12 years

I am looking for… A foster home

MY HISTORY

Sapphire has been a very well loved dog. Sadly due to unforeseen circumstances, she is looking for a new home. Sapphire is currently still living with her owner out of the area and is awaiting a placement with us meaning that she is not currently available for meet and greets until she is in a foster home. We would welcome applications who may wish to foster with a view to adopt, so that we can look to getting her into our care.

ABOUT SAPPHIRE

Hi, I’m Sapphire!

I’m an adorable girl who loves lots of fuss and cuddles.

I’m happiest when I’m with my people and I am used to a bust household with lots going on.

I currently live with children.

I would prefer a home where someone is around a lot of the time, but I can be left for short, reasonable periods of time.

Please reach out if you can offer me a foster home or a foster with a view to adopt home if you would like a short trial period with me!

MY HEALTH

I do have some allergies but nothing that cannot be easily be managed.

I am due a health review when I am in rescue.

MY TEMPERAMENT WITH OTHER DOGS

I would prefer not to say hello to other dogs and keep walking past. I quite nicely on lead and I don’t have any recall.

MY IDEAL FAMILY

I would love a bull breed experienced family where someone is around most of the time for me.

AM I ELIGIBLE TO APPLY?

Please have a read of our requirements to ensure that you are eligible to apply here:

https://staffieandstrayrescue.co.uk/news/rehoming-criteria-are-you-eligible

Application forms can be found at the bottom of this link and emailed to staffiesrescue@gmail.com",09/15/2025
My Name Is… Spike,https://staffieandstrayrescue.co.uk/wp-content/uploads/Spike3-1-300x300.jpg,https://staffieandstrayrescue.co.uk/dogs/spike-3,I Am… Approximately 3 years old – My microchip wasn’t registered when I arrived,,I Am… A Bulldog,,BH11 9AE,Staffie & Stray Rescue,"About Spike

My Name Is… Spike

I Am… Approximately 3 years old – My microchip wasn’t registered when I arrived

I Am… A Bulldog

Can I be rehomed with other dogs… Under Assessments

Can I be rehomed with cats… No

Can I be rehomed with children.. Under Assessments

I am looking for… A foster or forever home

MY HISTORY

Spike was found as a stray. His microchip wasn’t registered and sadly no-one came forward to claim her. He is currently in kennels and looking for a foster or forever home.

ABOUT SPIKE

Hi, I’m Spike!

I am a friendly boy who is looking for a chance of a new life.

I can be quite bouncy for a Bulldog when I get excited, but I walk really well on the lead and have no issues stomping through puddles in the rain!

I’m new in, please check back soon to find out all about me!

HEALTH

I am due a health review in a few days. I have an eye infection currently.

MY TEMPERAMENT WITH OTHER DOGS

Currently under further assessments. I have not been reactive towards dogs in kennels.

MY IDEAL FAMILY

Whilst being assessed, I am looking for an adult only home.

I would love a quiet home where I can finally relax and enjoy home comforts.",09/15/2025
My Name Is… Sylvie,https://staffieandstrayrescue.co.uk/wp-content/uploads/Sylvie1-300x300.jpg,https://staffieandstrayrescue.co.uk/dogs/sylvie,I Am… Approx. 9 years old – I was not microchipped when I arrived,,I Am… Chihuahua,,BH11 9AE,Staffie & Stray Rescue,"About Sylvie

My Name Is… Sylvie

I Am… Approx. 9 years old – I was not microchipped when I arrived

I Am… Chihuahua

Can I be rehomed with other dogs… Possibly, with a calm neutered male

Can I be rehomed with cats… Under Assessments

Can I be rehomed with children… Under Assessments

I am looking for… A foster or forever home

MY HISTORY

Sylvie was found as a stray and taken to kennels. She was not microchipped and no-one came forward to claim her. On arrival she was quite matted around her tail so she was shaven by a vet. She is now under our care and on the search for a forever home.

ABOUT SYLVIE

Hi, I’m Sylvie!

I’m a sweet, gentle natured girl looking for a lap to curl up in.

I enjoy my walks for a potter and a sniff around, I am slow and easy to walk on the lead.

I have not long arrived with the rescue, please check back soon for more information.

HEALTH

I am due a health review in the coming days. I have a lump that will need removing once I am in a foster home.

MY TEMPERAMENT WITH OTHER DOGS

Under further assessments.

I have not shown reactive behaviour in kennels.

 ",09/15/2025
My Name Is… Tansy,https://staffieandstrayrescue.co.uk/wp-content/uploads/Tansy1-300x300.jpg,https://staffieandstrayrescue.co.uk/dogs/tansy,I Am… Approximately 2.5 years old – My microchip wasn’t registered when I arrived,,I Am… A Bulldog,,BH11 9AE,Staffie & Stray Rescue,"About Tansy

My Name Is… Tansy

I Am… Approximately 2.5 years old – My microchip wasn’t registered when I arrived

I Am… A Bulldog

Can I be rehomed with other dogs… Under Assessments

Can I be rehomed with cats… No

Can I be rehomed with children.. Under Assessments

I am looking for… A foster or forever home

MY HISTORY

Tansy was found as a stray. Her microchip wasn’t registered and sadly no-one came forward to claim her. She is currently in kennels and looking for a foster or forever home.

ABOUT TANSY

Hi, I’m Tansy!

I am a loving and affectionate girl, I have been friendly to all people I have met here at SSR.

I have been through a lot in my young life. I have clearly been bred from on multiple occasions, but hopefully things will be looking up for me soon!

I travel well in the car and walk well on the lead.

Check back soon for more information about me!

HEALTH

I am due a health review in a few days.

MY TEMPERAMENT WITH OTHER DOGS

Currently under further assessments. I have not been reactive towards dogs in kennels and I have had some small interactions with another dog outside of kennels with no reactivity.

MY IDEAL FAMILY

Whilst being assessed, I am looking for an adult only home.

I would love a quiet home where I can finally relax and enjoy home comforts.",09/15/2025
My Name Is… Taz,https://staffieandstrayrescue.co.uk/wp-content/uploads/Taz3-2-300x300.jpg,https://staffieandstrayrescue.co.uk/dogs/taz-3,I Am… 5 Years old,,I Am… 16-18kg,,BH11 9AE,Staffie & Stray Rescue,"About Taz

My Name Is… Taz

I Am… 5 Years old

I Am… 16-18kg

Can I be rehomed with other dogs… No

Can I be rehomed with cats… No

Can I be rehomed with children… 12+ – Children who are used to bouncy dogs

I am looking for… A foster home

MY HISTORY

Taz has been a well loved dog and has been in one home since he was a puppy. Due to unforseen circumstances, he is looking for a new home through SSR. Taz is currently residing with his owner still whilst on our waiting list to come in. We would welcome applications from those who may wish to foster him or “foster with a view to adopt”. Taz doesn’t live locally to SSR so meet and greets at not viable at this stage,

ABOUT TAZ

Hi, I’m Taz!

I’m a typical bouncy, exciteable Staffie who loves to meet new people!

I love my food and treats, I have been known to dip into the bin I love food so much! I am very gentle in taking treats though and I know the sit command and will wait patiently.

I have not lived with children but I have had some experience with visiting children. Because I can be jumpy and mouthy, I could possibly live with children aged 12+ if those children are used to being around dogs.

I am comfortable being left for up to 4 hours in my current home.

I travel well in the car, I just get a little excited in anticipation of where we are going!

My favourite toy is my ball.

Please reach out to my rescue if you can offer me a home!

HEALTH

I will have a health check when I arrive. No obvious concerns to report.

MY TEMPERAMENT WITH OTHER DOGS

I would prefer not to socialise or say hello to other dogs.

I am muzzle trained out on walks.

MY IDEAL HOME

I would love a dog experienced home committed to providing me with sufficient mental draining and physical expercise. I am a clever boy who loves to learn!

AM I ELIGIBLE TO APPLY?

Please have a read of our requirements to ensure that you are eligible to apply here:

https://staffieandstrayrescue.co.uk/news/rehoming-criteria-are-you-eligible

 ",09/15/2025
About Ralph,,https://www.blisscavalierrescue.org/dogs/available/,Sex: Male (Neutered),"Good with dogs? Yes – good with other dogs; best with calm, steady companions",Age: 2 years 6 months,,DN19 7NE,Bliss Cavalier Rescue," Location: North Lincolnshire

Basic Information
Age: 2 years 6 months
Sex: Male (Neutered)
Good with dogs? Yes – good with other dogs; best with calm, steady companions
Good with cats? Not tested
Good with children? Adult-only home
Time able to be left alone: Short periods only once fully settled
 Health & Medical Needs

 Health conditions: Chiari-like malformation–associated pain; has had patellar luxation surgery 
 On medication? Yes – prescribed pregabalin and Galliprant daily for pain management by the neurologist- Reduced adoption fee applies

 Behaviour & Personality

 Behaviour traits: Loving, people-focused, playful; sensitive to handling at times; historic resource guarding linked to pain, improving with pain relief
 Activity level: Moderate – enjoys walks, sniffing games and enrichment
 Training required: Ongoing confidence building and positive reinforcement; calm management around food/resting spaces; gentle handling for harness/collar

About Ralph

Ralph is a striking young Ruby Cavalier with a huge heart and a lot of potential. At just 2.5 years old, he’s already been through quite a journey, managing pain from Chiari-like malformation and recovering from previous knee surgery. With the right medication, Ralph has started to show the loving, cuddly and playful boy he really is.

He’s very people-focused and enjoys being close to his humans, whether that’s on a walk, playing enrichment games, or simply snoozing nearby. Ralph travels well in the car, loves his walks, and is always up for a bit of fun. 

Ralph still has moments of guarding food, socks or toys, but this has improved hugely. He will always take advantage of pinching a dropped sock or some random item, so his adopters must be one step ahead. He will need adopters who can continue with calm, positive reinforcement training and who understand the importance of giving him space when he needs it.

Ralph would suit a calm, adult-only home where he can thrive with structure and gentle handling. He gets on well with other dogs but would be happiest alongside a calm and steady companion rather than a very anxious or boisterous one.

In the right home, Ralph will reward his family with loyalty, affection, and a cheeky, playful personality. He is a very special boy who, with patience and understanding, will make a truly wonderful companion.

 Adoption Criteria

 Type of home required: Calm, adult-only home experienced with behaviour needs. Adopters must be willing to follow his pain-management plan, maintain routine, use gentle handling, and continue reward-based training. A steady canine companion could suit him well.

 Important Notes
 Adopters must have insurance or financial means to cover future medical costs.
 Home check and meet & greet required within 7-10 days of applying.
 Please read our adoption procedure before applying:

 Adoption Procedure:

 Read Adoption Procedure

 Apply for this dog here:

 Apply Now",09/15/2025
Leo ,background-image: url('https://assets.themayhew.org/app/uploads/2025/08/13130024/Leo-2-.jpg'),https://themayhew.org/dogs/leo/,14 Years 1 Months Old,Male,Bichon Frise,,NW10 6BJ,Mayhew,Leo is a friendly and gentle little chap who is looking for a relaxing retirement home. He is partial to a good game with his tennis balls and enjoys going on gentle adventures with his people. This sweet boy would love to find a home where he can spend his days snuggled up on his person's lap and enjoy the finer things in life. He will make an affectionate and loving companion for the right person or family.,09/15/2025
Noodle ,background-image: url('https://assets.themayhew.org/app/uploads/2025/09/12145214/Noodle-8-scaled.jpg'),https://themayhew.org/dogs/noodle/,2 Years 1 Months Old,Male,Greyhound,,NW10 6BJ,Mayhew,"Noodle is a sensitive, sweet boy who it is hard not to fall in love with. He enjoys sniffy walks with his people, although can be worried in busy environments. Noodle enjoys the company of other dogs and would benefit from living in a home with another calm, large breed dog to give him reassurance and help him build his confidence. He will need a patient and understanding owner who will provide him with support and guidance when needed. He is gaining confidence every day with us and is looking for a home who will allow him to blossom in his own time.",09/15/2025
Billy ,background-image: url('https://assets.themayhew.org/app/uploads/2025/08/04131238/Billy-3.jpg'),https://themayhew.org/dogs/billy/,4 Months Old,Male,Maltese Crossbreed,,NW10 6BJ,Mayhew,"Billy is a sweet natured and playful young pup. He can be a little shy when first meeting people but it doesn't take long for his cheeky and fun personality to shine through. He is curious of other dogs but can be worried by them so will need lots of guidance and reassurance in this area to help build his confidence. This adorable little lad is looking for experienced owners who will continue with his training and socialisation to help him grow into the well-adjusted, social and happy adult dog, he has the huge potential to be. His adopters will be taking on at least a fifteen-year commitment, which must not be taken lightly.",09/15/2025
Chino ,background-image: url('https://assets.themayhew.org/app/uploads/2025/08/20164739/Chino-1.jpg'),https://themayhew.org/dogs/chino/,1 Years Old,Male,German Spitz,,NW10 6BJ,Mayhew,Cheerful Chino is a playful and affectionate chap who loves going on adventures and getting cuddles from his people. He enjoys meeting dogs out and about but is still learning about doggy etiquette so will need his owner to give him guidance where needed and facilitate positive intros. He is a very bright boy and would benefit from extra mental stimulation in the home on top of continued training and socialisation. Chino will make a loyal and fun companion for the right person or family.,09/15/2025
Mindy ,background-image: url('https://assets.themayhew.org/app/uploads/2025/08/14094348/Mindy-4-scaled.jpg'),https://themayhew.org/dogs/mindy/,1 Years 1 Months Old,Female,Labrador Crossbreed,,NW10 6BJ,Mayhew,"Magnificent Mindy is a sweet, affectionate and lively girl who thrives off spending time with her people. She is very playful and loves a good game of tug with her toys. Mindy is still learning about the world and will need support and guidance to help her develop into the confident adult, she has the huge potential to be. This sweetheart is looking for a home with active owners who will have the time and patience to continue with her training and socialisation as well as providing her with mental stimulation. She is a real gem of a dog and will make a wonderfully loving, fun and rewarding companion in the right home.",09/15/2025
Linda ,background-image: url('https://assets.themayhew.org/app/uploads/2025/07/30210435/Linda-8.jpg'),https://themayhew.org/dogs/linda/,7 Years 2 Months Old,Female,French Bulldog,,NW10 6BJ,Mayhew,"Lovely Linda is a sweet and affectionate soul. She enjoys spending time with her people and going on walks where she can sniff to her heart's content and roll around in the grass! She is social with other dogs but can be a bit worried if they are too full on with her, so will need her owner to provide her with guidance and reassurance where needed. Linda would love a home where she can take things at her own pace and settle down with her family after a day of gentle activities. This little lady will make a loving and loyal companion for anyone lucky enough to adopt her.",09/15/2025
Not sure which dog? ,background-image: url('https://assets.themayhew.org/app/uploads/2024/12/12141821/1.png'),https://themayhew.org/dogs/not-sure-which-dog/,2 Years 4 Months Old,Male & Female,Any,,NW10 6BJ,Mayhew,"Maybe you'd like to adopt a dog but you're not sure who? Or you'd like some guidance on which dog you might be a good match for?

You can still apply today via the Application Form button below. Just make sure you select the option 'None in particular - Happy to be guided by Mayhew' at the start of your application form.

We review all applications and will be in touch directly if we believe we have a dog available who could suit your experience and circumstances. We are a small team so please bear with us and note that we cannot respond to all applications, only those who may be suitable for a dog currently in our care.",09/15/2025
Sue ,background-image: url('https://assets.themayhew.org/app/uploads/2025/09/04154247/Sue-1-edit.jpg'),https://themayhew.org/dogs/sue/,4 Months Old,Female,Maltese Crossbreed,,NW10 6BJ,Mayhew,"Sue is a playful and active young pup with a sensitive side. She can be a little shy at first but with a calm approach, it doesn't take long for this sweet girl to warm up and show her friendly and mischievous side! She is curious of other dogs but can be worried by them so will need lots of guidance and reassurance in this area to build her confidence. She is looking for an owner who will continue with her training and socialisation to ensure she grows up to be the happy, sociable, and well-adjusted adult dog, she has the huge potential to be. Her adopters will be taking on at least a fifteen-year commitment, which must not be taken lightly.",09/15/2025
Crystal ,background-image: url('https://assets.themayhew.org/app/uploads/2025/07/03133747/Crystal-pic-1.jpg'),https://themayhew.org/dogs/crystal/,13 Years 10 Months Old,Female,Bichon Frise X Yorkshire Terrier,,NW10 6BJ,Mayhew,"Crystal is a sweet natured and gentle soul who brightens the day of everyone she meets. She enjoys pottering out and about with her people, investigating the best smells and socialising with her dog pals. She is also always up for a tasty treat whenever the opportunity arises! This little sweetheart is looking for a quiet retirement home where she can spend her days being doted on and enjoying the simple pleasures in life. She will make a loving and rewarding companion for the person or family that is lucky enough to adopt her.",09/15/2025
Betsy ,background-image: url('https://assets.themayhew.org/app/uploads/2025/08/24161132/Media-79-e1756048466371.jpg'),https://themayhew.org/dogs/betsy/,2 Years 1 Months Old,Female,Cocker Spaniel X Poodle,,NW10 6BJ,Mayhew,"Beautiful Betsy is a sweet natured girl with lots of love to give. She is very affectionate and happiest when snuggled up on her favourite person's lap. She is also a playful soul and enjoys a good game of fetch! Betsy has a sensitive side and can become overwhelmed in busy areas so would suit a quiet environment with patient and understanding owners, who will provide her with reassurance and guidance when needed. This adorable girl will flourish in the right home, given the chance.",09/15/2025
Piper ,background-image: url('https://assets.themayhew.org/app/uploads/2025/08/06094329/Piper-2.jpg'),https://themayhew.org/dogs/piper/,4 Years 6 Months Old,Male,Greyhound,,NW10 6BJ,Mayhew,"Piper is a sensitive and loving boy who will melt your heart given the chance. He enjoys being with people and it doesn't take him long to show off his cheeky and bouncy side, especially if there are treats involved! He can be worried in busy environments and will need a patient and understanding owner who will provide him with support and guidance when needed. This affectionate lad would love nothing more than to find a home where he can relax and cuddle up with his family after a day of sniffy adventures.",09/15/2025
Belle ,background-image: url('https://assets.themayhew.org/app/uploads/2022/08/01151408/Belle-couch.jpeg'),https://themayhew.org/dogs/belle/,12 Years 3 Months Old,Female,Schnauzer Crossbreed,,NW10 6BJ,Mayhew,"Beautiful Belle is our ""Star Dog"" because she is constantly overlooked. She's an intelligent girl who is full of personality. She doesn't appreciate being overhandled by strangers but once she’s built up trust with someone, she's quick to show her affectionate side and enjoys receiving love and attention. She loves going for long walks, taking in all the best smells but prefers to keep her distance from other dogs. She also enjoys basking in the sun and rolling around in the grass. In the right home with an understanding and patient owner this girl will make a loving and loyal companion.",09/15/2025
Coco ,background-image: url('https://assets.themayhew.org/app/uploads/2025/07/30111712/Coco-4.jpg'),https://themayhew.org/dogs/coco/,3 Years 2 Months Old,Female,French Bulldog,,NW10 6BJ,Mayhew,"Sweet Coco is an affectionate and cuddly girl with a sensitive side. She loves being with her people and splashing about in the paddling pool whenever she has the chance! She can become worried by busy and loud environments and prefers to keep her distance from other dogs, enjoying quieter walks where she can do her own thing. She is looking for a patient and understanding owner who will have the time and patience to dedicate to her training and building her confidence at her pace. Coco will make a loving and fun companion for the right person or family.",09/15/2025
Neo ,background-image: url('https://assets.themayhew.org/app/uploads/2025/07/21142508/Media-2025-07-21T141014.857.jpg'),https://themayhew.org/dogs/neo/,1 Years 11 Months Old,Male,Dachshund X,,NW10 6BJ,Mayhew,"Neo is a happy, affectionate boy who loves people, dogs and being outside. He is a curious and confident young dog who brings joy to everyone he meets. He is intelligent and keen to learn, plus playful, fun and cuddly! He enjoys socialising with both doggy and human friends, as well as playing with his toys. Neo is full of character and looking for a person or a family to take him on adventures during the day, and cuddle up with him in the evening, keeping him both physically and mentally stimulated.",09/15/2025
Max ,background-image: url('https://assets.themayhew.org/app/uploads/2025/07/30175128/Max-11-edit.jpg'),https://themayhew.org/dogs/max-2/,4 Months Old,Male,German Shepherd,,NW10 6BJ,Mayhew,"Marvellous Max is a friendly, intelligent and affectionate boy. He loves spending time with his people, exploring new smells and playing with his toys. This mischievous young chap is looking for an active and experienced owner who will have plenty of time on their hands to dedicate to his training and socialisation as well as keeping him mentally and physically stimulated. He would potentially benefit from doing breed specific dog sports when he is fully grown. He will make a wonderfully loyal and rewarding companion in the right home.",09/15/2025
Cola ,background-image: url('https://assets.themayhew.org/app/uploads/2025/07/12125736/Cola-13-scaled.jpg'),https://themayhew.org/dogs/cola/,5 Years 2 Months Old,Female,Patterdale Terrier,,NW10 6BJ,Mayhew,"Gorgeous Cola is a bubbly, energetic and affectionate girl who is always up for an adventure. She loves to be out and about with her people and enjoys a good game of tug with her toys or 'catch me' with her ball! She is very friendly with people and other dogs and happy to say hello to all she meets. She can be a little excitable in her greetings at times but is very responsive to training and keen to learn. Cola is looking for an active owner that will have the time and patience to continue with her training and keep her intelligent mind busy! She will make a wonderful companion in the right home and would love a person or family that she could cuddle up next to after an exciting day of activities.",09/15/2025
Mozart ,background-image: url('https://assets.themayhew.org/app/uploads/2025/01/04102215/Mozart-1.jpg'),https://themayhew.org/dogs/mozart/,1 Years 4 Months Old,Male,Pomeranian Crossbreed,,NW10 6BJ,Mayhew,"Mozart is a fun and mischievous boy with a sensitive side. He may be small but he has a big personality! He enjoys spending time with his trusted people, playing with his toys and doing zoomies around our garden! He can be worried of the wider world at times but has made amazing progress in a short time, gaining confidence out and about and learning to walk well on the lead. He is curious of other dogs but can show a worried side, sometimes barking towards them and is still learning how to interact with them. He will need continued positive association and guidance in this area. Mozart is looking for an experienced, understanding owner who will have the time and patience to continue with his training and socialisation, building his confidence at his pace. In the right home, this intelligent boy will make a snuggly, loving and loyal companion.",09/15/2025
The Maltichon Pups ,background-image: url('https://assets.themayhew.org/app/uploads/2025/07/03170923/Maltichons-4.jpg'),https://themayhew.org/dogs/the-maltichon-pups/,5 Months Old,Male & Female,Maltese X Bichon Frise,,NW10 6BJ,Mayhew,"Introducing the Maltichon Pups! These 5 adorable siblings are playful and out-going youngsters who will grow up to be active, small/medium sized dogs, requiring plenty of mental and physical stimulation. They’re looking for fully committed owners who will take them to training classes and continue their training and socialisation plans to ensure they grow up to be happy, sociable, and well-adjusted adult dogs. Their adopters will be taking on at least a fifteen-year commitment, which must not be taken lightly.",09/15/2025
Dora ,background-image: url('https://assets.themayhew.org/app/uploads/2025/07/13150142/Media-79.jpg'),https://themayhew.org/dogs/dora/,5 Months Old,Female,Maltese X Toy Poodle,,NW10 6BJ,Mayhew,"A-Dora-ble Dora is ready to wriggle her way into her new home. This bright, bouncy girl is looking for an active home where she will get plenty of physical and mental stimulation. Dora is an energetic and fun girl who loves to play. She loves spending time with people and chasing her favourite toys. She is looking for fully committed owners who will take her to training classes and continue her training and socialisation plans to ensure she grows up to be a happy, sociable, and well-adjusted adult dog. Her adopters will be taking on at least a fifteen-year commitment, which must not be taken lightly.",09/15/2025
The Havachon Pups ,background-image: url('https://assets.themayhew.org/app/uploads/2025/06/14160921/Hava-pups-3.jpg'),https://themayhew.org/dogs/the-havachon-pups/,5 Months Old,Male & Female,Bichon Frise X Havanese,,NW10 6BJ,Mayhew,"Meet the Havachon Pups - all 5 of them! These sweet siblings are playful and out-going youngsters who will grow up to be active, small/medium sized dogs, requiring plenty of mental and physical stimulation. They’re looking for fully committed owners who will take them to training classes and continue their training and socialisation plans to ensure they grow up to be happy, sociable, and well-adjusted adult dogs. Their adopters will be taking on at least a fifteen-year commitment, which must not be taken lightly.",09/15/2025
Diego ,background-image: url('https://assets.themayhew.org/app/uploads/2024/11/28172229/IMG-20241128-WA0021.jpg'),https://themayhew.org/dogs/diego/,4 Years 3 Months Old,Male,Foxhound,,NW10 6BJ,Mayhew,"Dashing Diego is a fun, loving and active boy, looking for an equally active owner. As well as going on long, sniffy walks, meeting dog pals along the way, he would benefit from tracking, scent and agility games to keep him mentally and physically stimulated. He loves zooming around outdoors and playing with his soft toys and is always up for a game of tug with his people. He is a very friendly and sociable chap that enjoys meeting new people and other dogs but will need continued guidance and support in this area. Diego is intelligent, forms bonds quickly and is keen to learn, so has lots of potential for training. This charming boy will make a fantastic companion for a person or family that have the time and patience to dedicate to his needs.",09/15/2025
Brucey ,background-image: url('https://assets.themayhew.org/app/uploads/2025/06/10110254/Brucey-pro-pic.jpg'),https://themayhew.org/dogs/brucey/,1 Years 1 Months Old,Male,Collie X Labrador,,NW10 6BJ,Mayhew,"Brucey is a bouncy, active boy, looking for equally active owners. He loves being outdoors and being with his people. He is very playful and enjoys a good game of fetch with his tennis balls! This intelligent boy is eager to learn and picks up training quickly. He can become worried in busy or unpredictable environments and prefers to stick to familiar, quieter routes when out and about so will need an understanding owner that will provide him with reassurance and guidance when needed. Bruce is looking for a home with a person that has the time, patience and commitment to continue with his training and socialisation and help build his confidence up. He will thrive in the right home and make a fantastic companion.",09/15/2025
